Predicted Open,Predicted Close,Predicted High,Predicted Low,Actual Open,Actual Close,Actual High,Actual Low
-0.92053354,-0.9282414,-0.9217834,-0.92826384,-0.926437055752974,-0.9204689622335384,-0.9223677707061668,-0.922706801819633
-0.91556025,-0.92326695,-0.9168725,-0.92331773,-0.9200330887375684,-0.9244355761374302,-0.9244254415786478,-0.92416418096142
-0.9115727,-0.91926795,-0.9129248,-0.9193437,-0.921323810771681,-0.9231464266186652,-0.9254297809330732,-0.9221288756082348
-0.9126419,-0.9203363,-0.9139758,-0.9204122,-0.924302400081172,-0.9239397493994438,-0.927903885196414,-0.9237621453360992
-0.90769726,-0.91538155,-0.9090876,-0.9154831,-0.9236570390641156,-0.9224026865116856,-0.925209316196736,-0.9197417890828942
-0.9025333,-0.9102221,-0.9039878,-0.9103526,-0.9222670307196864,-0.9232951746400614,-0.9251603240331056,-0.9193900079107384
-0.9035297,-0.9112057,-0.9049559,-0.91134244,-0.923508109598641,-0.918981482019579,-0.9231026531606242,-0.9207468781461954
-0.90298885,-0.91066605,-0.904428,-0.91079855,-0.9201820182030428,-0.9112961675807884,-0.9148719696706994,-0.9158219417360188
-0.9046631,-0.9123443,-0.9060879,-0.91246355,-0.9083173041202368,-0.9035116877944008,-0.9049755526173374,-0.9046654531333744
-0.90243125,-0.9101121,-0.903884,-0.9102399,-0.901615478173882,-0.8967684441577847,-0.90135013250868,-0.8972780485181097
-0.90237063,-0.91004866,-0.9038203,-0.91017866,-0.8959065153306908,-0.8977105149599589,-0.8969408377819345,-0.8961221960953131
-0.90122277,-0.9089051,-0.90269166,-0.90904224,-0.8974950962957526,-0.8903722792377591,-0.8940013079641042,-0.8931571833585743
-0.895316,-0.902997,-0.8968553,-0.90316844,-0.8899989798668669,-0.8943388931416508,-0.8938053393095821,-0.8936094734370598
-0.8859216,-0.8935853,-0.88755935,-0.89381385,-0.8927293534005671,-0.8862073346386726,-0.888269224819335,-0.8883327558547279
-0.8799935,-0.88764584,-0.8817002,-0.88790506,-0.8797228467491229,-0.8854140118578944,-0.8847907812015693,-0.8824027303812501
-0.8781301,-0.8857751,-0.87984353,-0.8860561,-0.8832971539205121,-0.8747289456542857,-0.8789117215659087,-0.8794377176445112
-0.8747223,-0.8823719,-0.87648875,-0.88266385,-0.8721274440099207,-0.8798111697186471,-0.874110489530119,-0.8752665980318108
-0.87480575,-0.8824419,-0.87655103,-0.88274765,-0.8778364068531119,-0.8728695953868364,-0.874110489530119,-0.8752665980318108
-0.8701557,-0.8777998,-0.8719711,-0.87812,-0.8708367219758079,-0.8732166741034268,-0.8758252152571867,-0.8722513308419068
-0.8654356,-0.87305725,-0.86728436,-0.87341595,-0.873815311285299,-0.892355586189705,-0.8765600977116443,-0.9063238500878216
-0.8607077,-0.86834013,-0.86263096,-0.8687155,-0.8999276108985037,-0.8945372238368455,-0.8937073549823211,-0.8988861910193917
-0.8582881,-0.8659025,-0.86021,-0.86630845,-0.8887579009879123,-0.8880914762430213,-0.8907678251644909,-0.8870261400724361
-0.8570924,-0.86471736,-0.8590489,-0.86511797,-0.8885096852121214,-0.8902731138901617,-0.886603491255898,-0.8861215599154649
-0.8555736,-0.86318386,-0.8575381,-0.8635965,-0.8882614694363306,-0.8927026649062956,-0.8920906135825146,-0.8893880993711943
-0.8715811,-0.879204,-0.8733124,-0.87959266,-0.8963036605719562,-0.905594160093944,-0.8991454851453073,-0.904564944227044
-0.87791884,-0.88557434,-0.87964195,-0.88585746,-0.9164091384110208,-0.8970659402005765,-0.8991454851453073,-0.9159727050955142
-0.8702388,-0.8778734,-0.8720464,-0.87819487,-0.8952115111584763,-0.9078253804148833,-0.8981656418726971,-0.9049669798523646
-0.86975044,-0.8773872,-0.87155676,-0.8777159,-0.9058847895174856,-0.9094616086502384,-0.9032608268902697,-0.905972068915666
-0.87249506,-0.8801282,-0.8742681,-0.8804431,-0.9150687732217498,-0.9188327339981828,-0.9033098190539,-0.9148168526727176
-0.8833941,-0.89104015,-0.88503116,-0.891308,-0.9137284080324788,-0.9262949264048796,-0.9140391028889808,-0.931049041045034
-0.8872149,-0.894901,-0.8888487,-0.89513344,-0.9352238942159724,-0.9336331621270794,-0.9210939744517735,-0.931149549951364
-0.8838052,-0.89145005,-0.88543093,-0.89172,-0.931599943889425,-0.9204193795597396,-0.9226617236879496,-0.928687081746276
-0.8873451,-0.8950058,-0.8889506,-0.89523697,-0.9085158767408696,-0.9043545932489778,-0.9088949257077776,-0.9093893717308904
-0.8941241,-0.90180373,-0.8956472,-0.9020035,-0.9072251547067568,-0.90866828586946,-0.906004388053578,-0.904363926414384
-0.9028631,-0.9105369,-0.90426844,-0.91071105,-0.9061330052932768,-0.902916695708817,-0.9047795839628152,-0.9027557839131016
-0.90998113,-0.9176891,-0.91133827,-0.9177873,-0.9010197603119836,-0.9049000026607628,-0.9055634585809036,-0.9003435701611787
-0.9050605,-0.9127603,-0.90649116,-0.912879,-0.9046437106385312,-0.9075278843720912,-0.9086499648896254,-0.9026050205536068
-0.88832885,-0.8959915,-0.8899378,-0.8962109,-0.9071258683964404,-0.8977105149599589,-0.8997333911088734,-0.9026050205536068
-0.8874363,-0.89509696,-0.8890479,-0.89531946,-0.8989347477953401,-0.8981071763503482,-0.8985085870181108,-0.8941120179687105
-0.8848181,-0.89247745,-0.8864668,-0.8927119,-0.8997290382778709,-0.9049991680083604,-0.9026729209267036,-0.902102476021956
-0.8840864,-0.8917351,-0.88573366,-0.89197713,-0.9034026317595766,-0.9156098602012708,-0.9065433018535136,-0.9113995498574932
-0.88672954,-0.8943833,-0.88835007,-0.8946071,-0.9103030303265642,-0.920816040950129,-0.9148229775070688,-0.9260235957285272
-0.88231844,-0.88998353,-0.88400155,-0.89023286,-0.9263874125978157,-0.9360875044801124,-0.9285407833236105,-0.93577295964255
-0.8785002,-0.886149,-0.88021725,-0.8864184,-0.9346778195092325,-0.9360379218063138,-0.934517827286532,-0.9396928069894251
-0.8838045,-0.8914535,-0.8854487,-0.8917054,-0.9307560102517358,-0.9286501034103152,-0.9307454306869832,-0.9292901351842566
-0.89099115,-0.89864635,-0.8925396,-0.8988702,-0.9200827318927264,-0.9081228764576752,-0.911344533889303,-0.9192392445512436
-0.89942926,-0.90709496,-0.900881,-0.90728116,-0.9036012043802094,-0.9075278843720912,-0.9059553958899474,-0.9116508221233186
-0.9121071,-0.91979516,-0.913423,-0.91989636,-0.905090499034955,-0.921212702340518,-0.9090419021986692,-0.9187367000195928
-0.915717,-0.9234171,-0.9170085,-0.9234864,-0.9098562419301404,-0.9164031829820491,-0.90816004325332,-0.9181839010347772
-0.90922457,-0.916917,-0.91059965,-0.9170104,-0.9222670307196864,-0.9184856552815924,-0.9194772330519668,-0.9201940791613796
-0.894566,-0.90225035,-0.89611286,-0.9024344,-0.9175012878245008,-0.9332612920735897,-0.9218778490698616,-0.9294911529969168
-0.88852596,-0.89618206,-0.8901145,-0.89641666,-0.9320467322858488,-0.9373766539988772,-0.9337349325117164,-0.9368283031590166
-0.8955067,-0.90316504,-0.8969942,-0.9033742,-0.9273306325458212,-0.9238405840518464,-0.9278548930327832,-0.930295224247558
